ChainId,Address,Token,RewardAmount,DeductedAmount,RemainingAmount,TxHash
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,8017760515750,160355210315,7857405305435,0xb75e14d428d844dd6b65e380a1889fff5efa64a2a9c82f220d735482c9aaa8fc
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,5585142242981625,111702844859632,5473439398121993,0xb75e14d428d844dd6b65e380a1889fff5efa64a2a9c82f220d735482c9aaa8fc
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,50694184,1013883,49680301,0xad66fe2b69dd88b63243fb6f1a5892d3f330150770b567181627ab0fab914306
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,2481718100736929,49634362014738,2432083738722191,0xad66fe2b69dd88b63243fb6f1a5892d3f330150770b567181627ab0fab914306
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,1049750429905,20995008598,1028755421307,0xf2d47e02e8c896117e4a0918baade7a5b0aefe1ab6cc9ede9ac710db5323c0a3
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,1216792574836898,24335851496737,1192456723340161,0xf2d47e02e8c896117e4a0918baade7a5b0aefe1ab6cc9ede9ac710db5323c0a3
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,0,0,0,0xb63e697ea987f5f156bb179c93ff12df7030905826648f7140ef04e67c2ddf63
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,0,0,0,0xb63e697ea987f5f156bb179c93ff12df7030905826648f7140ef04e67c2ddf63
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,1508204932305,30164098646,1478040833659,0x89b0de3209be2ccc74657a242820580f08dfe837a632a7dc2f37dc27ba830dd6
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,85426179530669,1708523590613,83717655940056,0x89b0de3209be2ccc74657a242820580f08dfe837a632a7dc2f37dc27ba830dd6
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,96875626763,1937512535,94938114228,0xaf814280136c7ae71191d58f7e4cbfbd19255f859832482e6f8660698cd20345
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,18404430483015475,368088609660309,18036341873355166,0xaf814280136c7ae71191d58f7e4cbfbd19255f859832482e6f8660698cd20345
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,121282629415,2425652588,118856976827,0x59d23a7030dd0fdb30cb62ffd0b71ef69b653a434cf4f96bdb3b734b77b3c24e
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,17855505211595871,357110104231917,17498395107363954,0x59d23a7030dd0fdb30cb62ffd0b71ef69b653a434cf4f96bdb3b734b77b3c24e
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,172599083,3451981,169147102,0x38100c58ae5980379adac1883f07070edbf12d6b3adbafaec299a58f554f1d9f
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,8002079193292456,160041583865849,7842037609426607,0x38100c58ae5980379adac1883f07070edbf12d6b3adbafaec299a58f554f1d9f
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,43013004198,860260083,42152744115,0x19721dce59e91a48db386bd5da6f0488337c5b4aa694f6bcff8199a9994435c0
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,11634227449480571,232684548989611,11401542900490960,0x19721dce59e91a48db386bd5da6f0488337c5b4aa694f6bcff8199a9994435c0
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,716320231393,14326404627,701993826766,0x754301a5c49df4f1d542426f866d42f285c655a07177f2ac04a6f928eeaa387e
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,1358153976502322,27163079530046,1330990896972276,0x754301a5c49df4f1d542426f866d42f285c655a07177f2ac04a6f928eeaa387e
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,1154790748271,23095814965,1131694933306,0x03ef553da435e81e82136893ce86530efda298efdfc57d110ec7a6a6a2227c7d
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,4721876053094727,94437521061894,4627438532032833,0x03ef553da435e81e82136893ce86530efda298efdfc57d110ec7a6a6a2227c7d
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,0,0,0,0x6fa2700f998045b39f04551e19413bd8e54b0329f7874003e741afe00f5e8d97
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,7993664561536610,159873291230732,7833791270305878,0x6fa2700f998045b39f04551e19413bd8e54b0329f7874003e741afe00f5e8d97
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,0,0,0,0xb5dc51169f5748ac6b58a8b0234b39f724d3696f5e069b1677fef9954e1ca3b3
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,9738842613013660,194776852260273,9544065760753387,0xb5dc51169f5748ac6b58a8b0234b39f724d3696f5e069b1677fef9954e1ca3b3
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,0,0,0,0x9c781856f789fad7b65449867a9886a2f241cd4d628c99d9b36f87cdc957ae3f
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,7752456113098082,155049122261961,7597406990836121,0x9c781856f789fad7b65449867a9886a2f241cd4d628c99d9b36f87cdc957ae3f
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,406766382956,8135327659,398631055297,0x7367f95cc4087f065e8db6cd1c4f245c86a1cb71bbaddccab52c1c74b47392d6
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,22587437434793390,451748748695867,22135688686097523,0x7367f95cc4087f065e8db6cd1c4f245c86a1cb71bbaddccab52c1c74b47392d6
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,1065200570708,21304011414,1043896559294,0x2dfb8e50858c92b80e3ca8a5884f240ddffd8e98cf550333c4f5c9c7da3bfa89
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,24480185010514276,489603700210285,23990581310303991,0x2dfb8e50858c92b80e3ca8a5884f240ddffd8e98cf550333c4f5c9c7da3bfa89
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,10405526412459,208110528249,10197415884210,0xb5ff4a927fff185c50ff8688e310a780f222cc17bcc89517cb1fd6e0b44892d9
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,85496568275365456,1709931365507309,83786636909858147,0xb5ff4a927fff185c50ff8688e310a780f222cc17bcc89517cb1fd6e0b44892d9
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,1031374758299,20627495165,1010747263134,0x2ded979a6eb1367a41039d6cf199ca5fcac252b59f0ea774ebbc3dad3e536d58
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,0,0,0,0x2ded979a6eb1367a41039d6cf199ca5fcac252b59f0ea774ebbc3dad3e536d58
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,956933232554,19138664651,937794567903,0xa372859880f428b7599eb947318d7551788e79bbfc3710ebbcc053840958d631
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,3876206943642207,77524138872844,3798682804769363,0xa372859880f428b7599eb947318d7551788e79bbfc3710ebbcc053840958d631
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,466596085891,9331921717,457264164174,0x67aa21d6458312f5abfbdc4396beb4d82df619176fe4cf75c91bd929c6cca01d
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,0,0,0,0x67aa21d6458312f5abfbdc4396beb4d82df619176fe4cf75c91bd929c6cca01d
8453,0xe403043A0F9C7B9F315Cf145166EB747D9790E77,0x4200000000000000000000000000000000000006,1223033054076,24460661081,1198572392995,0x7bebde9b0f032cc59c2d3cb18ea1cb0438bdd6c80dbdc4a45931f5c49151bf6c
